# Groups of No. 88 that are NOT read as sense, even where the table gives them a value (22 Sept 2026).
# file<TAB>line<TAB>group (N = every occurrence on that line; N@k = the k-th occurrence only)<TAB>why
# Everything else in gap88.txt / rem88.txt reads as sense in the running text given in NOTES.md (I-graded values included;
# measure.py reports the fraction with and without them).
gap88.txt	3	1424	im-pas-ion-ed: 'impassioned' does not fit 'if his active influence had not been ... before it' (the underlined 1102 at the foot of the page is a catchword and is not counted)
gap88.txt	4	1112	same word
gap88.txt	4	1433	same word
gap88.txt	4	520@1	same word (first 520 on the line)
gap88.txt	5	492	use/se where the sense wants 'by' ('affected [by] his illness')
gap88.txt	2	1457	'last' in Chan-ce-[1457]-or; the group may be 1452+ (a doubled l)
rem88.txt	4	350	'few ex-table-ly' does not read; the word before 'defensive' ('exclusively'?) is unread
rem88.txt	4	289	same word
rem88.txt	4	1403	same word
rem88.txt	4	897@1	same word (first 897 on the line)
rem88.txt	5	1081	'self' inside e-va-?-ation; the group may be 1001 or another 10x1
rem88.txt	5	1508	le (bable) where 'a pre-' is wanted ('as a preliminary')
rem88.txt	9	1185	unread (he [took?] it as a demonstration)
rem88.txt	11	699	'at' inside ne-[go-ti]-ate: sense clear, group not read
rem88.txt	11	1535	'— al —' between dashes: unread
rem88.txt	11	570	'tol': 'it tol he' does not read
rem88.txt	13	1309	'after the [1309]-long of [996]-ed la-nd': unread (Po-la-nd?)
rem88.txt	13	888	same phrase
rem88.txt	13	996	same phrase
rem88.txt	13	520	same phrase
rem88.txt	13	1453	same phrase
rem88.txt	13	416	same phrase
rem88.txt	16	220	'proper le the if great success': the first words do not read ('probable that the greatest'?)
rem88.txt	16	586	same
rem88.txt	16	1416	same
rem88.txt	19	927	unread ('of the em-[927]': empire?)
rem88.txt	19	1540	ambass (Ford M) does not fit before 'the side of the Baltic'
rem88.txt	19	748	'side res'
