# Values fixed by aligning further coded passages of JQA despatches of Oct 1811 - Mar 1812 (Nos. 71, 72, 74, 75, 81;
# codes_ford1812b.txt) with the plaintext Ford printed (Writings of JQA vol. 4). Generated from align.py output by
# a script (known value confirmed = C; new value between confirmed neighbours = C; split judgement, table conflict or
# uncertain digit = M). Drops (struck, blotted or unread groups) and GAP are not listed. See ford1812b_notes.md.
# number<TAB>value<TAB>frame+block (Ford page; note)<TAB>grade
199	how	0168Ll1 (Ford 4:270)	C
888	long	0168Ll1 (Ford 4:270)	C
1399	this	0168Ll1 (Ford 4:270)	C
1101	is	0168Ll1 (Ford 4:270; table p)	M
948	rus	0168Ll1 (Ford 4:270)	C
668	and	0168Ll1 (Ford 4:270)	C
869	austria	0168Ll1 (Ford 4:270)	C
1186	will	0168Ll1 (Ford 4:270)	C
1310	be	0168Ll1 (Ford 4:270)	C
888	suf	0168Ll1 (Ford 4:270; table long/russia; digit uncertain)	M
327	fer	0168Ll1 (Ford 4:270)	C
569	to	0168Ll2 (Ford 4:270)	C
743	rem	0168Ll2 (Ford 4:270)	C
1531	ain	0168Ll2 (Ford 4:270; mark ^)	C
1551	o	0168Ll2 (Ford 4:270)	C
1124	pen	0168Ll2 (Ford 4:270; table perhaps)	M
1436	is	0168Ll2 (Ford 4:270)	C
300	extreme	0168Ll2 (Ford 4:270)	C
897	ly	0168Ll2 (Ford 4:270)	C
1384	that	0168Ll2 (Ford 4:270)	C
1385	the	0168Ll2 (Ford 4:270)	C
1291	english	0168Ll2 (Ford 4:270)	C
1259	have	0168Ll2 (Ford 4:270)	C
560	ti	0168Ll3 (Ford 4:270)	C
1128	cipa	0168Ll3 (Ford 4:270; not in table)	M
1373	ted	0168Ll3 (Ford 4:270)	C
569	to	0168Ll3 (Ford 4:270)	C
1501	a	0168Ll3 (Ford 4:270)	C
118	consider	0168Ll3 (Ford 4:270)	C
1503	able	0168Ll3 (Ford 4:270; digit uncertain)	M
298	ex	0168Ll3 (Ford 4:270; not in table)	C
1293	tent	0168Ll3 (Ford 4:270)	C
1426	in	0168Ll3 (Ford 4:270)	C
1399	this	0168Ll3 (Ford 4:270)	C
71	commerce	0168Ll3 (Ford 4:270)	C
152	ismore	0168Ll3 (Ford 4:270; not in table)	C
1383	than	0168Ll3 (Ford 4:270)	C
1503	able	0168Ll4 (Ford 4:270)	C
1426	in	0168Ll4 (Ford 4:270)	C
615	many	0168Ll4 (Ford 4:270)	C
1002	case	0168Ll4 (Ford 4:270)	C
1398	sthey	0168Ll4 (Ford 4:270; table thither)	M
1259	have	0168Ll4 (Ford 4:270)	C
605	made	0168Ll4 (Ford 4:270)	C
1501	a	0168Ll4 (Ford 4:270)	C
492	use	0168Ll4 (Ford 4:270)	C
1576	of	0168Ll4 (Ford 4:270)	C
961	ight	0168Ll5 (Ford 4:270; not in table)	M
1429	ing	0168Ll5 (Ford 4:270)	C
458	ve	0168Ll5 (Ford 4:270)	C
1080	ssel	0168Ll5 (Ford 4:270; mark ^)	C
525	sen	0168Ll5 (Ford 4:270; table ef)	M
560	ti	0168Ll5 (Ford 4:270)	C
558	tled	0168Ll5 (Ford 4:270; not in table; mark +)	C
569	to	0168Ll5 (Ford 4:270)	C
1440	it	0168Ll5 (Ford 4:270)	C
132	besi	0168Ll5 (Ford 4:270; not in table; digit uncertain)	M
1385	the	0168Ll6 (Ford 4:270)	C
981	for	0168Ll6 (Ford 4:270)	C
1205	ge	0168Ll6 (Ford 4:270)	C
949	ries	0168Ll6 (Ford 4:270; table ry)	M
1384	that	0168Ll6 (Ford 4:270)	C
1257	have	0168Ll6 (Ford 4:270; not in table)	C
1317	been	0168Ll6 (Ford 4:270)	C
831	de	0168Ll6 (Ford 4:270; not in table; digit uncertain)	M
518	tect	0168Ll6 (Ford 4:270; table rect; digit uncertain)	M
520	ed	0168Ll6 (Ford 4:270; digit uncertain)	M
170	here	0168Ll6 (Ford 4:270; table heard/heardpart; digit uncertain)	M
1394	there	0168Ll6 (Ford 4:270; table think; digit uncertain)	M
624	may	0168Ll6 (Ford 4:270)	C
1259	have	0168Ll6 (Ford 4:270)	C
1317	been	0168Ll6 (Ford 4:270; digit uncertain)	M
250	some	0168Ll7 (Ford 4:270)	C
699	at	0168Ll7 (Ford 4:270)	C
1172	what	0168Ll7 (Ford 4:270)	C
684	are	0168Ll7 (Ford 4:270)	C
7003	ca	0168Ll7 (Ford 4:270; not in table; digit uncertain)	M
591	lled	0168Ll7 (Ford 4:270; not in table)	M
1385	the	0168Ll7 (Ford 4:270)	C
938	out	0168Ll7 (Ford 4:270)	C
1153	ports	0168Ll7 (Ford 4:270)	C
1176	which	0168Ll7 (Ford 4:270)	C
1259	have	0168Ll7 (Ford 4:270)	C
1317	been	0168Ll7 (Ford 4:270)	C
157	more	0168Ll7 (Ford 4:270; table pos)	M
385	suc	0168Ll7 (Ford 4:270)	C
1022	ces	0168Ll7 (Ford 4:270; mark +)	C
1426	in	0168Ll8 (Ford 4:270)	C
271	es	0168Ll8 (Ford 4:270)	C
1009	cap	0168Ll8 (Ford 4:270; not in table)	C
1429	ing	0168Ll8 (Ford 4:270)	C
846	disc	0168Ll8 (Ford 4:270)	C
728	ove	0168Ll8 (Ford 4:270; table ation/operation)	M
949	ry	0168Ll8 (Ford 4:270)	C
1385	the	0168Ll8 (Ford 4:270)	C
1501	a	0168Ll8 (Ford 4:270)	C
1344	bo	0168Ll8 (Ford 4:270)	C
880	li	0168Ll8 (Ford 4:270)	C
565	tion	0168Ll8 (Ford 4:270)	C
1576	of	0168Ll8 (Ford 4:270)	C
138	theh	0168Ll8 (Ford 4:270; not in table; digit uncertain)	M
1248	burg	0168Ll9 (Ford 4:270; not in table)	M
894	lu	0168Ll9 (Ford 4:270)	C
1310	be	0168Ll9 (Ford 4:270)	C
1032	ck	0168Ll9 (Ford 4:270)	C
686	bremen	0168Ll9 (Ford 4:270; table arm)	M
1102	pa	0168Ll9 (Ford 4:270)	C
1121	pen	0168Ll9 (Ford 4:270)	C
786	burg	0168Ll9 (Ford 4:270)	C
668	and	0168Ll9 (Ford 4:270)	C
1589	ol	0168Ll9 (Ford 4:270; not in table)	C
823	den	0168Ll9 (Ford 4:270)	C
786	burg	0168Ll9 (Ford 4:270)	C
961	flag	0168Ll9 (Ford 4:270; not in table; mark ^)	M
1254	has	0168Ll10 (Ford 4:270)	C
162	much	0168Ll10 (Ford 4:270)	C
1385	the	0168Ll10 (Ford 4:270)	C
421	necessi	0168Ll10 (Ford 4:270; table it)	M
653	ty	0168Ll10 (Ford 4:270)	C
480	under	0168Ll10 (Ford 4:270)	C
1176	which	0168Ll10 (Ford 4:270)	C
1576	of	0168Ll11 (Ford 4:270)	C
931	re	0168Ll11 (Ford 4:270)	C
253	sort	0168Ll11 (Ford 4:270)	C
1429	ing	0168Ll11 (Ford 4:270)	C
569	to	0168Ll11 (Ford 4:270)	C
1384	that	0168Ll11 (Ford 4:270)	C
1576	of	0168Ll11 (Ford 4:270)	C
1385	the	0168Ll11 (Ford 4:270)	C
49	unitedstates	0168Ll11 (Ford 4:270)	C
569	to	0168Ll11 (Ford 4:270)	C
1013	carry	0168Ll11 (Ford 4:270)	C
1386	their	0168Ll11 (Ford 4:270)	C
639	mer	0168Ll11 (Ford 4:270)	C
