# Puig 1920 p. 475 facsimile (last page of app. XXXV, Benedict XIII to Climent, Avignon 22 June 1400, ACB doc. 1068).
# Cipher runs, word by word, against Puig's italics, read from the Google Books scan (1826x2500) deskewed -0.7 deg, 3-4x zoom.
# status: y = every sign seen and fits the key in key.md; p = partly seen or one sign unclear; n = not checked / not legible here.
# 'plate' column: where the plate differs from Puig's print.
# line	run	word	status	unclear_letters	plate
1	R1	K	y	0	dotted-V sign (Regis Arag.)
1	R1	cum	y	0
1	R1	duce	y	0
2	R1	burgundie	p	3
3	R2	et	y	0
3	R2	ideo	y	0
3	R2	est	y	0
3	R2	sic	p	1	s drawn as a tall f-like stroke
3	R2	negocium	y	0
4	R2	tenendum	y	0	plate: tenendum; Puig prints 'te sicudum'
4	R2	in	y	0
4	R2	suspenso	p	3
4	R2	non	n	3	line 4 has an underlined (expunged?) stretch and overwriting
4	R2	approbando	n	10
4	R2	nec	n	3
4	R2	reprobando	n	10
4	R2	SEP	p		separator group of lambda-like signs where Puig prints ';'
4	R2	de	n	2
4	R2	cardinali	n	9
4	R2	catan	n	5
5	R2	iensi	y	0
5	R3	quod	y	0
5	R3	revertitur	y	0
5	R3	in	y	0
5	R3	siciliam	y	0
5	R3	alii	y	0
6	R3	vero	y	0
6	R3	asserunt	y	0
6	R3	quod	y	0
6	R3	K	y	0	dotted-V (Reg. Aragon.)
6	R3	factus	y	0
6	R3	cancellarius	y	0
6	R3	debet	y	0
6	R3	in	y	0
6	R3	catalonia	y	0
6	R3	remanere	y	0
8	R4	et	y	0
8	R4	presertim	p	1
8	R4	scribe	y	0
8	R4	quo	y	0
8	R4	modo	p	1
8	R4	se	y	0
8	R4	habet	y	0
8	R4	in	y	0
8	R4	negociis	y	0
8	R4	nostris	y	0
8	R4	SEP	y		separator group where Puig prints '—'
8	R4	de	y	0
8	R4	facto	y	0
8	R4	bonorum	p	2
9	R4	petri	p	1
9	R4	de	y	0
9	R4	bosco	y	0
9	R4	ideo	y	0
9	R4	scripsimus	y	0
9	R4	K	y	0	dotted-V (Regi Aragon.)
9	R4	quod	p	1
9	R4	tu	y	0
9	R4	diceres	y	0
9	R4	sibi	y	0
9	R4	mentem	y	0
9	R4	nostram	y	0
9	R4	ne	y	0
9	R4	alius	p	2
10	R4	sibi	y	0
10	R4	hoc	y	0
10	R4	atribueret	y	0
10	R4	et	y	0
10	R4	sibi	y	0
10	R4	pocius	y	0
10	R4	deberet	y	0
10	R4	K	y	0	dotted-V (Rex Arag.)
10	R4	regraciari	p	3
10	R4	quam	y	0
10	R4	nobis	y	0
10	R4	ideo	y	0
11	R4	dices	y	0
11	R4	sibi	y	0
11	R4	quod	y	0
11	R4	placet	y	0
11	R4	nobis	y	0
11	R4	et	y	0
11	R4	sumus	y	0
11	R4	contenti	y	0
11	R4	quod	y	0
11	R4	recipiat	y	0
11	R4	ad	y	0
11	R4	voluntatem	y	0
12	R4	suam	y	0
12	R4	sed	y	0
12	R4	quod	y	0
12	R4	atentis	y	0
12	R4	tribulacione	y	0
12	R4	statu	y	0
12	R4	et	y	0
12	R4	expensis	y	0
12	R4	nostris	y	0
12	R4	velit	y	0
12	R4	in	y	0
13	R4	suportandis	y	0
13	R4	oneribus	p	2
13	R4	aliquem	p	2
13	R4	habere	y	0
13	R4	respectum	y	0
13	R4	sicut	y	0
13	R4	ambaxiatis	p	2
13	R4	et	y	0
14	R4	similibus	y	0
14	R4	quia	y	0
14	R4	prout	y	0
14	R4	nosti	y	0
14	R4	necessitatem	y	0
14	R4	nostram	p	1
14	R4	nisi	y	0
14	R4	alius	y	0
14	R4	respectus	y	0
14	R4	habeatur	p	2
15	R4	in	y	0
15	R4	futurum	y	0
15	R4	dubitamus	y	0
15	R4	ex	y	0
15	R4	toto	y	0
15	R4	deficere	y	0
15	R4	deficientibus	y	0
15	R4	provisionibus	y	0
15	R4	factas	y	0
16	R4	alias	y	0
16	R4	ut	y	0
16	R4	potes	y	0
16	R4	cogitare	y	0
16	R4	nec	y	0
16	R4	poterimus	y	0
16	R4	in	y	0
16	R4	futurum	y	0
16	R4	suficere	y	0
16	R4	ad	y	0
16	R4	necessaria	y	0	plate: necessaria (TT); Puig 'necesaria'
17	R4	SEP	y		separator group (lambda-z, barred p, lambda-z) where Puig prints '—'; not printed by Puig
23	R5	SEP	p		separator group (lambda-z, dotted V, lambda-z, s-u, arc) before 'quasi'; not printed by Puig
23	R5	quasi	y	0
23	R5	territus	p	2
24	R5	modis	y	0
24	R5	istorum	y	0
24	R5	adversariorum	y	0
24	R5	nostrorum	y	0
24	R5	qui	y	0
24	R5	nos	y	0
24	R5	hic	y	0
24	R5	detinent	y	0
24	R5	absque	y	0	plate: absque; Puig prints 'abique'
24	R5	con	y	0
25	R5	gedio	y	0	plate: congedio (con|gedio); Puig prints 'congerio'
